index,prediction,truth
15978,BEG BEG a ball ball dark BEG BEG BEG,go fetch a neutral giant yellow ball
16000,BEG BEG BEG a ball ball dark BEG BEG,go get a green very_light large ball
16137,BEG BEG a ball ball dark BEG BEG BEG,fetch a purple neutral medium key
16678,BEG BEG a ball ball dark BEG BEG BEG,go get a red medium very_dark key
18083,BEG BEG a ball ball dark BEG BEG BEG,go get a small light red key
18310,BEG BEG a ball ball dark BEG BEG BEG,go fetch a very_dark tiny green key
19597,BEG BEG a ball ball dark BEG BEG BEG,go fetch a red neutral giant key
19919,BEG BEG a ball ball dark BEG BEG BEG,get a grey neutral large key
20226,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a small green dark key
20926,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a dark red large key
21391,BEG BEG a ball ball dark BEG BEG BEG,fetch a grey very_dark small ball
22307,BEG BEG a ball ball dark BEG BEG BEG,fetch a very_dark small blue ball
23608,BEG a ball dark BEG BEG BEG BEG BEG,go get a neutral red large ball
24252,BEG BEG a ball ball dark BEG BEG BEG,fetch a red giant very_dark ball
24346,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a large blue very_dark ball
24583,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a very_dark blue giant ball
24869,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a very_dark yellow large key
25872,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a medium very_dark purple ball
26753,BEG BEG a ball ball dark BEG BEG BEG,go fetch a blue very_light small key
27018,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a yellow very_light medium key
27413,BEG BEG a ball ball dark BEG BEG BEG,fetch a dark small grey ball
27552,BEG a ball dark BEG BEG BEG BEG BEG,get a yellow light small ball
28102,a ball dark BEG BEG BEG BEG BEG a,go fetch a green neutral tiny key
28243,BEG BEG BEG a ball ball dark BEG BEG,go get a small red light key
28372,BEG BEG a ball ball dark BEG BEG BEG,fetch a neutral purple medium key
28417,BEG BEG a ball ball dark BEG BEG BEG,go get a purple medium very_dark ball
28968,BEG BEG a ball ball dark BEG BEG BEG,get a purple giant light ball
29131,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a red small neutral ball
29623,BEG BEG a ball ball dark BEG BEG BEG,fetch a green very_light giant key
30039,BEG BEG BEG a ball ball dark BEG BEG,fetch a red light small key
31008,a ball dark BEG BEG BEG BEG BEG a,you must fetch a red very_dark large key
32175,BEG BEG BEG a ball ball dark BEG BEG,you must fetch a very_light large red ball
33165,BEG BEG a ball ball dark BEG BEG BEG,get a tiny very_dark grey ball
33804,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a very_dark small grey ball
33985,BEG BEG a ball ball dark BEG BEG BEG,fetch a very_dark green medium key
34129,BEG BEG a ball ball dark BEG BEG BEG,go get a very_light tiny grey key
34663,BEG a ball dark BEG BEG BEG BEG BEG,go fetch a red giant very_light key
34798,BEG BEG a ball ball dark BEG BEG BEG,fetch a medium very_dark green ball
35287,BEG BEG a ball ball dark BEG BEG BEG,go get a medium dark green ball
35841,BEG BEG a ball ball dark BEG BEG BEG,go fetch a purple neutral small key
37307,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a very_dark purple small ball
37333,BEG BEG a ball ball dark BEG BEG BEG,go fetch a green neutral small ball
37695,BEG BEG a ball ball dark BEG BEG BEG,get a medium dark grey key
37756,BEG BEG a ball ball dark BEG BEG BEG,go get a purple neutral giant key
39172,BEG BEG BEG a ball ball dark BEG BEG,get a dark tiny purple ball
39340,a ball dark BEG BEG BEG BEG BEG a,you must fetch a dark large blue key
39802,BEG BEG BEG a ball ball dark BEG BEG,go fetch a purple light medium key
41049,BEG a ball dark BEG BEG BEG BEG BEG,go fetch a purple light small key
41119,BEG BEG a ball ball dark BEG BEG BEG,get a giant blue dark key
41547,BEG BEG a ball ball dark BEG BEG BEG,go get a grey tiny neutral ball
41581,BEG BEG BEG a ball ball dark BEG BEG,fetch a neutral red medium ball
42426,BEG BEG a ball ball dark BEG BEG BEG,go get a small green light ball
42680,BEG BEG a ball ball dark BEG BEG BEG,get a very_dark giant blue ball
43532,BEG BEG a ball ball dark BEG BEG BEG,go get a very_dark tiny red key
43553,BEG BEG a ball ball dark BEG BEG BEG,fetch a very_dark blue medium key
44156,BEG BEG a ball ball dark BEG BEG BEG,fetch a dark tiny blue ball
44158,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a yellow neutral giant ball
44315,BEG a ball dark BEG BEG BEG BEG BEG,get a very_dark red medium ball
44964,BEG BEG a ball ball dark BEG BEG BEG,go fetch a green very_light giant key
45029,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a light yellow small key
45740,BEG BEG BEG a ball ball dark BEG BEG,fetch a medium green dark key
46808,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a medium neutral blue ball
46870,BEG BEG a ball ball dark BEG BEG BEG,get a medium neutral grey ball
47511,BEG a ball dark BEG BEG BEG BEG BEG,go fetch a grey very_dark tiny ball
48699,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a neutral red small key
48929,BEG BEG a ball ball dark BEG BEG BEG,fetch a green very_dark giant key
49079,BEG BEG a ball ball dark BEG BEG BEG,go get a grey light tiny key
49233,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a tiny purple dark key
49615,BEG BEG a ball ball dark BEG BEG BEG,fetch a neutral purple tiny key
50638,BEG BEG a ball ball dark BEG BEG BEG,fetch a neutral medium purple key
51169,BEG BEG a ball ball dark BEG BEG BEG,go fetch a tiny blue light ball
52403,BEG a ball dark BEG BEG BEG BEG BEG,fetch a blue tiny light ball
52881,BEG a ball dark BEG BEG BEG BEG BEG,go get a giant purple neutral key
54178,BEG BEG a ball ball dark BEG BEG BEG,get a small light yellow key
56174,BEG BEG a ball ball dark BEG BEG BEG,go get a light purple tiny ball
57697,BEG BEG a ball ball dark BEG BEG BEG,get a purple neutral medium key
57762,BEG BEG BEG a ball ball dark BEG BEG,go get a very_dark red giant ball
59179,BEG BEG a ball ball dark BEG BEG BEG,go get a very_light blue medium key
59936,BEG BEG a ball ball dark BEG BEG BEG,go fetch a very_dark giant yellow key
60282,BEG BEG BEG a ball ball dark BEG BEG,go get a giant green very_dark key
61650,BEG BEG a ball ball dark BEG BEG BEG,get a very_light blue medium key
61770,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a small purple very_dark ball
62712,BEG BEG a ball ball dark BEG BEG BEG,fetch a medium purple very_dark ball
63257,BEG BEG a ball ball dark BEG BEG BEG,go fetch a grey very_light tiny key
64059,BEG a ball dark BEG BEG BEG BEG BEG,get a dark purple medium key
64215,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a tiny grey neutral ball
64425,BEG BEG a ball ball dark BEG BEG BEG,go fetch a very_light tiny red key
64982,BEG BEG a ball ball dark BEG BEG BEG,fetch a neutral giant yellow ball
65345,BEG BEG a ball ball dark BEG BEG BEG,go fetch a blue giant dark key
65489,BEG BEG a ball ball dark BEG BEG BEG,go fetch a giant light yellow key
68047,BEG BEG a ball ball dark BEG BEG BEG,fetch a very_dark small purple ball
68304,BEG BEG a ball ball dark BEG BEG BEG,go get a purple neutral giant ball
68947,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a very_light small green ball
69421,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a green dark large key
70122,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a dark large grey key
70942,BEG BEG a ball ball dark BEG BEG BEG,go get a green light small ball
70999,BEG BEG a ball ball dark BEG BEG BEG,get a very_dark small purple key
71158,BEG BEG a ball ball dark BEG BEG BEG,go fetch a tiny green very_dark ball
72517,BEG BEG BEG a ball ball dark BEG BEG,go fetch a light large purple key
73364,BEG BEG a ball ball dark BEG BEG BEG,go fetch a blue giant very_dark ball
74386,BEG BEG BEG a ball ball dark BEG BEG,go get a giant neutral yellow ball
74673,BEG BEG a ball ball dark BEG BEG BEG,go fetch a very_dark tiny green ball
74954,BEG BEG a ball ball dark BEG BEG BEG,go get a large red dark ball
75027,BEG BEG BEG a ball ball dark BEG BEG,fetch a large grey light key
75699,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a grey tiny neutral ball
75737,BEG BEG a ball dark BEG BEG BEG BEG,you must fetch a dark medium purple key
77022,BEG BEG a ball ball dark BEG BEG BEG,get a giant yellow neutral ball
80261,BEG BEG a ball ball dark BEG BEG BEG,go get a blue neutral medium ball
81831,BEG BEG a ball ball dark BEG BEG BEG,go fetch a dark tiny purple key
82603,BEG BEG a ball ball dark BEG BEG BEG,fetch a giant yellow very_dark key
82841,BEG a ball dark BEG BEG BEG BEG BEG,go get a tiny neutral grey ball
82968,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a red large very_light ball
83958,BEG BEG BEG a ball ball dark BEG BEG,you must fetch a neutral giant purple ball
84258,ball dark BEG BEG BEG BEG BEG a ball,go fetch a small blue neutral ball
84641,BEG BEG a ball ball dark BEG BEG BEG,go get a tiny green very_dark key
86669,BEG BEG BEG a ball ball dark BEG BEG,go get a large purple very_dark key
86822,BEG a ball dark BEG BEG BEG BEG BEG,get a green very_light large key
87213,BEG BEG a ball ball dark BEG BEG BEG,fetch a yellow neutral tiny key
89027,BEG BEG a ball ball dark BEG BEG BEG,go fetch a dark medium grey key
89450,BEG BEG a ball ball dark BEG BEG BEG,fetch a red very_light giant key
89688,,get a dark red tiny ball
90752,BEG BEG a ball ball dark BEG BEG BEG,go get a grey light small ball
91023,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a blue tiny neutral key
91406,a ball dark BEG BEG BEG BEG BEG a,go get a small purple light key
92626,BEG BEG a ball ball dark BEG BEG BEG,go fetch a grey neutral medium ball
92908,BEG BEG a ball ball dark BEG BEG BEG,go get a green very_dark small ball
93981,BEG BEG a ball ball dark BEG BEG BEG,go fetch a light yellow giant key
95509,BEG BEG BEG a ball ball dark BEG BEG,fetch a large very_light purple ball
95654,BEG a ball dark BEG BEG BEG BEG BEG,go get a blue neutral tiny key
97981,BEG BEG a ball dark BEG BEG BEG BEG,get a dark red tiny key
98613,BEG BEG a ball ball dark BEG BEG BEG,fetch a tiny red dark key
98757,BEG a ball dark BEG BEG BEG BEG BEG,get a purple dark giant key
100052,BEG BEG a ball ball dark BEG BEG BEG,go get a very_dark medium red key
102435,BEG BEG a ball ball dark BEG BEG BEG,get a light large purple key
102545,BEG BEG BEG a ball ball dark BEG BEG,get a dark purple tiny key
102725,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a medium green dark key
103059,BEG BEG a ball ball dark BEG BEG BEG,go get a very_light tiny blue ball
104252,BEG BEG BEG a ball ball dark BEG BEG,fetch a large red dark key
104562,BEG a ball dark BEG BEG BEG BEG BEG,go get a tiny yellow very_dark ball
104829,BEG a ball dark BEG BEG BEG BEG BEG,fetch a dark green small key
105059,BEG BEG a ball ball dark BEG BEG BEG,go get a light medium blue key
105815,BEG BEG a ball ball dark BEG BEG BEG,go get a grey dark large key
105974,BEG BEG a ball ball dark BEG BEG BEG,go get a green light medium key
106500,BEG BEG a ball ball dark BEG BEG BEG,get a very_light blue small ball
107022,a ball dark BEG BEG BEG BEG BEG a,fetch a blue giant dark ball
107383,BEG BEG BEG a ball ball dark BEG BEG,you must fetch a green light tiny key
107920,BEG BEG a ball ball dark BEG BEG BEG,fetch a neutral giant purple ball
109034,BEG BEG a ball ball dark BEG BEG BEG,get a green giant very_dark key
109708,BEG BEG a ball ball dark BEG BEG BEG,go fetch a grey tiny light ball
109956,BEG BEG BEG a ball ball dark BEG BEG,you must fetch a yellow giant very_dark key
110220,BEG BEG a ball ball dark BEG BEG BEG,go get a blue giant neutral key
110598,BEG a ball dark BEG BEG BEG BEG BEG,go get a blue tiny dark ball
111460,BEG BEG a ball ball dark BEG BEG BEG,go get a grey tiny neutral key
111842,a ball dark BEG BEG BEG BEG BEG a,get a grey dark small ball
113079,BEG BEG BEG a ball ball dark BEG BEG,go get a dark tiny red key
113598,BEG BEG a ball ball dark BEG BEG BEG,go get a blue tiny very_light ball
113956,BEG BEG a ball ball dark BEG BEG BEG,get a medium dark green ball
114811,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a very_dark giant purple ball
116327,BEG BEG a ball ball dark BEG BEG BEG,go fetch a small green very_dark ball
117225,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a light small yellow ball
117822,BEG BEG a ball ball dark BEG BEG BEG,go get a neutral red giant ball
117939,BEG a ball dark BEG BEG BEG BEG BEG,go fetch a neutral giant red ball
118354,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a neutral blue giant key
118675,BEG BEG a ball ball dark BEG BEG BEG,go get a very_dark blue large ball
120778,BEG BEG a ball ball dark BEG BEG BEG,go fetch a very_dark tiny purple ball
123577,BEG BEG BEG a ball ball dark BEG BEG,fetch a medium very_dark blue key
125174,BEG BEG a ball ball dark BEG BEG BEG,get a giant dark purple ball
126693,BEG BEG a ball ball dark BEG BEG BEG,fetch a purple giant very_light key
126997,BEG BEG a ball ball dark BEG BEG BEG,go fetch a grey dark tiny ball
127237,BEG BEG a ball ball dark BEG BEG BEG,get a grey tiny light key
130098,BEG BEG a ball ball dark BEG BEG BEG,go get a purple tiny dark key
130878,BEG BEG a ball ball dark BEG BEG BEG,get a neutral tiny purple key
131561,BEG BEG a ball ball dark BEG BEG BEG,get a medium blue very_dark key
135782,BEG BEG a ball ball dark BEG BEG BEG,go fetch a dark yellow medium ball
136230,BEG BEG BEG a ball ball dark BEG BEG,you must fetch a green very_light small key
139094,BEG BEG BEG a ball ball dark BEG BEG,you must fetch a light purple large key
141832,BEG BEG a ball ball dark BEG BEG BEG,get a neutral blue small ball
142395,a ball dark BEG BEG BEG BEG BEG a,go get a grey neutral tiny ball
143501,BEG BEG a ball ball dark BEG BEG BEG,get a very_dark grey tiny ball
143759,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a medium dark blue key
144000,BEG BEG a ball ball dark BEG BEG BEG,get a large purple very_light ball
144062,BEG BEG a ball ball dark BEG BEG BEG,go fetch a blue very_dark large ball
145425,BEG BEG a ball ball dark BEG BEG BEG,go fetch a green tiny neutral ball
147764,BEG BEG a ball ball dark BEG BEG BEG,go get a small light green key
148356,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a medium grey dark ball
149536,BEG BEG a ball ball dark BEG BEG BEG,get a medium yellow dark ball
149613,a ball dark BEG BEG BEG BEG BEG a,fetch a blue very_dark giant ball
149784,BEG BEG a ball ball dark BEG BEG BEG,fetch a yellow light small ball
151952,BEG a ball dark BEG BEG BEG BEG BEG,get a tiny neutral grey key
152111,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a neutral blue tiny key
156276,BEG BEG a ball ball dark BEG BEG BEG,get a neutral blue large key
156462,BEG BEG a ball ball dark BEG BEG BEG,go get a small red very_dark ball
157169,BEG BEG a ball ball dark BEG BEG BEG,go get a dark large blue key
157232,BEG BEG a ball ball dark BEG BEG BEG,get a very_light medium red ball
157807,BEG BEG a ball ball dark BEG BEG BEG,go get a tiny dark blue ball
158217,BEG BEG a ball ball dark BEG BEG BEG,go get a blue light tiny key
159688,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a purple giant neutral key
159916,BEG BEG BEG a ball ball dark BEG BEG,go get a large light purple key
161437,BEG BEG a ball ball dark BEG BEG BEG,fetch a light small yellow key
161535,BEG BEG BEG a ball ball dark BEG BEG,fetch a tiny grey very_light key
162629,BEG BEG BEG a ball ball dark BEG BEG,get a large neutral grey key
162898,BEG BEG a ball ball dark BEG BEG BEG,fetch a neutral medium grey ball
165833,BEG BEG a ball ball dark BEG BEG BEG,go get a red small neutral key
167290,BEG BEG BEG a ball ball dark BEG BEG,go fetch a blue small very_dark ball
168219,BEG a ball dark BEG BEG BEG BEG BEG,fetch a green medium light key
168328,BEG BEG a ball ball dark BEG BEG BEG,fetch a large very_light purple ball
169845,BEG a ball dark BEG BEG BEG BEG BEG,fetch a purple very_dark small ball
171640,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a purple giant very_dark ball
172945,BEG BEG a ball ball dark BEG BEG BEG,get a purple large dark key
174964,BEG BEG a ball ball dark BEG BEG BEG,go get a grey neutral tiny key
175271,BEG BEG a ball ball dark BEG BEG BEG,fetch a blue dark large ball
176209,BEG BEG BEG a ball ball dark BEG BEG,go fetch a neutral giant red ball
178097,BEG BEG BEG a ball ball dark BEG BEG,go get a grey dark giant key
179444,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a very_dark medium red ball
179663,,fetch a light green tiny key
181101,BEG BEG a ball ball dark BEG BEG BEG,fetch a grey medium dark key
181400,BEG BEG a ball ball dark BEG BEG BEG,go get a blue large neutral key
182602,a ball dark BEG BEG BEG BEG BEG a,you must fetch a small purple very_dark key
182703,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a small light grey key
183660,BEG BEG a ball ball dark BEG BEG BEG,fetch a purple giant very_light key
184815,BEG a ball dark BEG BEG BEG BEG BEG,go get a small purple neutral key
185625,BEG BEG a ball ball dark BEG BEG BEG,go fetch a purple large light key
185653,BEG BEG a ball ball dark BEG BEG BEG,get a green tiny very_dark ball
186117,a ball dark BEG BEG BEG BEG BEG a,you must fetch a red very_light medium key
186742,BEG BEG a ball ball dark BEG BEG BEG,fetch a blue giant neutral ball
187772,a ball dark BEG BEG BEG BEG BEG a,go get a small neutral red ball
188034,BEG BEG a ball ball dark BEG BEG BEG,get a dark medium purple ball
188361,BEG BEG a ball ball dark BEG BEG BEG,fetch a green very_dark medium ball
188904,BEG BEG a ball ball dark BEG BEG BEG,fetch a light large purple key
190219,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a neutral red giant ball
191182,BEG BEG a ball dark BEG BEG BEG BEG,you must fetch a giant grey dark key
192495,BEG a ball dark BEG BEG BEG BEG BEG,go get a very_light tiny grey key
192586,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a giant neutral blue ball
193003,BEG BEG BEG a ball ball dark BEG BEG,you must fetch a neutral purple small key
193145,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a large dark blue key
193239,a ball dark BEG BEG BEG BEG BEG a,go fetch a neutral yellow tiny key
193744,BEG a ball dark BEG BEG BEG BEG BEG,go get a very_dark grey tiny ball
194672,BEG a ball dark BEG BEG BEG BEG BEG,go fetch a large blue dark ball
195630,BEG BEG a ball ball dark BEG BEG BEG,get a giant grey neutral ball
196000,BEG BEG BEG a ball ball dark BEG BEG,get a tiny very_light green ball
196359,BEG BEG a ball ball dark BEG BEG BEG,fetch a very_dark small purple ball
196674,BEG BEG BEG a ball ball dark BEG BEG,you must fetch a purple giant very_dark key
197187,BEG a ball dark BEG BEG BEG BEG BEG,fetch a green small very_dark key
198036,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a giant purple very_light key
199242,BEG BEG a ball ball dark BEG BEG BEG,go get a dark grey medium key
199681,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a purple giant dark key
199817,BEG BEG a ball ball dark BEG BEG BEG,fetch a very_dark green tiny ball
200347,BEG BEG a ball ball dark BEG BEG BEG,go fetch a giant yellow very_dark key
200533,BEG BEG a ball ball dark BEG BEG BEG,go fetch a green tiny neutral key
201462,BEG BEG a ball ball dark BEG BEG BEG,get a dark medium blue key
202309,BEG BEG a ball ball dark BEG BEG BEG,go fetch a small yellow very_light ball
203733,BEG a ball dark BEG BEG BEG BEG BEG,go get a green medium dark ball
204983,BEG BEG a ball ball dark BEG BEG BEG,go fetch a giant very_dark purple ball
206186,BEG BEG a ball ball dark BEG BEG BEG,get a dark purple medium key
206890,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a medium green very_dark ball
207510,a ball dark BEG BEG BEG BEG BEG a,you must fetch a light tiny grey ball
209177,BEG BEG a ball ball dark BEG BEG BEG,go fetch a light medium red ball
210184,a ball dark BEG BEG BEG BEG BEG a,get a giant neutral blue key
210334,BEG BEG a ball ball dark BEG BEG BEG,go get a red very_dark medium key
210415,BEG BEG BEG a ball ball dark BEG BEG,get a neutral tiny green key
210927,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a very_dark medium purple ball
211616,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a very_light tiny grey ball
212841,BEG BEG a ball ball dark BEG BEG BEG,get a green neutral small ball
214323,BEG BEG a ball ball dark BEG BEG BEG,go fetch a grey medium dark ball
215218,BEG BEG BEG a ball ball dark BEG BEG,get a large very_light purple ball
215493,BEG a ball dark BEG BEG BEG BEG BEG,go get a blue giant neutral key
215509,BEG BEG a ball dark BEG BEG BEG BEG,go get a red small neutral key
216260,BEG BEG a ball ball dark BEG BEG BEG,fetch a very_dark large red key
216303,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a tiny grey neutral key
216614,BEG BEG a ball ball dark BEG BEG BEG,get a green small very_dark ball
216659,BEG BEG a ball ball dark BEG BEG BEG,get a purple dark medium key
216716,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a tiny very_light red key
217389,BEG BEG a ball ball dark BEG BEG BEG,fetch a small red very_dark ball
217905,BEG BEG a ball ball dark BEG BEG BEG,go get a green tiny very_dark ball
218515,BEG a ball dark BEG BEG BEG BEG BEG,get a very_light purple large ball
219229,BEG BEG a ball ball dark BEG BEG BEG,go fetch a tiny light grey key
219546,BEG BEG a ball ball dark BEG BEG BEG,get a red giant very_dark ball
219820,BEG BEG a ball ball dark BEG BEG BEG,go fetch a giant light green ball
219829,BEG a ball dark BEG BEG BEG BEG BEG,go fetch a neutral green tiny ball
220517,BEG a ball dark BEG BEG BEG BEG BEG,go fetch a yellow light giant key
221550,BEG BEG a ball ball dark BEG BEG BEG,fetch a giant red neutral ball
221938,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a red medium neutral ball
221974,BEG BEG a ball ball dark BEG BEG BEG,fetch a green large dark key
222457,BEG BEG BEG a ball ball dark BEG BEG,go fetch a neutral purple giant key
223112,BEG BEG a ball ball dark BEG BEG BEG,get a neutral small grey key
223425,BEG BEG BEG a ball ball dark BEG BEG,go fetch a grey dark medium key
224883,BEG BEG a ball ball dark BEG BEG BEG,go fetch a blue medium neutral ball
228060,BEG BEG a ball ball dark BEG BEG BEG,fetch a tiny very_dark grey ball
228700,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a light medium red ball
229582,BEG a ball dark BEG BEG BEG BEG BEG,fetch a blue medium light key
230979,BEG BEG a ball ball dark BEG BEG BEG,you must fetch a purple medium neutral key
231135,BEG BEG a ball ball dark BEG BEG BEG,get a small yellow very_light ball
231529,BEG BEG BEG a ball ball dark BEG BEG,fetch a purple medium dark key
231943,BEG BEG a ball ball dark BEG BEG BEG,go get a neutral giant red ball
232807,a ball dark BEG BEG BEG BEG BEG a,you must fetch a very_light grey tiny ball
235625,BEG BEG a ball ball dark BEG BEG BEG,go get a blue giant dark key
235993,BEG a ball dark BEG BEG BEG BEG BEG,fetch a tiny green light key
236409,BEG BEG a ball ball dark BEG BEG BEG,get a very_dark grey tiny ball
236505,BEG BEG BEG a ball ball dark BEG BEG,go fetch a large very_light grey ball
238010,BEG BEG a ball ball dark BEG BEG BEG,fetch a giant grey neutral ball
238201,BEG BEG a ball ball dark BEG BEG BEG,fetch a green very_dark small ball
238311,BEG BEG a ball ball dark BEG BEG BEG,get a neutral red medium ball
238933,BEG BEG a ball ball dark BEG BEG BEG,go get a light grey tiny key
240149,BEG BEG a ball ball dark BEG BEG BEG,fetch a dark medium yellow ball
241230,BEG BEG BEG a ball ball dark BEG BEG,fetch a giant neutral red ball
241803,BEG BEG a ball ball dark BEG BEG BEG,go get a blue medium light key
243199,BEG BEG a ball ball dark BEG BEG BEG,go fetch a giant grey dark key
243221,a ball dark BEG BEG BEG BEG BEG a,get a tiny red very_light key
243623,BEG BEG a ball ball dark BEG BEG BEG,fetch a tiny purple very_dark ball
243780,BEG BEG a ball ball dark BEG BEG BEG,fetch a dark grey giant key
244396,BEG BEG a ball ball dark BEG BEG BEG,go get a blue medium very_light key
244493,BEG a ball dark BEG BEG BEG BEG BEG,you must fetch a blue small very_light key
245003,BEG BEG a ball ball dark BEG BEG BEG,get a small grey dark ball
245856,BEG BEG a ball ball dark BEG BEG BEG,fetch a tiny blue very_light ball
246085,BEG BEG a ball ball dark BEG BEG BEG,fetch a light medium purple key
246296,BEG BEG a ball ball dark BEG BEG BEG,go fetch a green medium light key
249380,BEG BEG a ball ball dark BEG BEG BEG,go get a small blue very_light key
250587,BEG BEG a ball ball dark BEG BEG BEG,go fetch a very_dark blue giant ball
250956,BEG BEG a ball ball dark BEG BEG BEG,go fetch a giant red neutral ball
